#priv LDC Rm, R6_BANK 0100mmmm11101110
#priv LDC Rm, R7_BANK 0100mmmm11111110
#priv LDC.L @Rm+, SR 0100mmmm00000111
LDC.L @Rm+, GBR 0100mmmm00010111
#priv LDC.L @Rm+, VBR 0100mmmm00100111
#priv LDC.L @Rm+, SSR 0100mmmm00110111
#priv LDC.L @Rm+, SPC 0100mmmm01000111
#priv LDC.L @Rm+, DBR 0100mmmm11110110
#priv LDC.L @Rm+, R0_BANK 0100mmmm10000111
#priv LDC.L @Rm+, R1_BANK 0100mmmm10010111
#priv LDC.L @Rm+, R2_BANK 0100mmmm10100111
#priv LDC.L @Rm+, R3_BANK 0100mmmm10110111
#priv LDC.L @Rm+, R4_BANK 0100mmmm11000111
#priv LDC.L @Rm+, R5_BANK 0100mmmm11010111
#priv LDC.L @Rm+, R6_BANK 0100mmmm11100111
#priv LDC.L @Rm+, R7_BANK 0100mmmm11110111
LDS Rm,FPUL 0100mmmm01011010
LDS.L @Rm+,FPUL 0100mmmm01010110
LDS Rm,FPSCR 0100mmmm01101010
LDS.L @Rm+,FPSCR 0100mmmm01100110
LDS Rm,MACH 0100mmmm00001010
LDS Rm,MACL 0100mmmm00011010
LDS Rm,PR 0100mmmm00101010
LDS.L @Rm+,MACH 0100mmmm00000110
LDS.L @Rm+,MACL 0100mmmm00010110
LDS.L @Rm+,PR 0100mmmm00100110
#priv LDTLB 0000000000111000
MAC.L @Rm+,@Rn+ 0000nnnnmmmm1111
MAC.W @Rm+,@Rn+ 0100nnnnmmmm1111
MAC @Rm+,@Rn+ 0100nnnnmmmm1111
MOV Rm,Rn 0110nnnnmmmm0011
MOV.B Rm,@Rn 0010nnnnmmmm0000
MOV.W Rm,@Rn 0010nnnnmmmm0001
MOV.L Rm,@Rn 0010nnnnmmmm0010
MOV.B @Rm,Rn 0110nnnnmmmm0000
MOV.W @Rm,Rn 0110nnnnmmmm0001
MOV.L @Rm,Rn 0110nnnnmmmm0010
MOV.B Rm,@-Rn 0010nnnnmmmm0100
MOV.W Rm,@-Rn 0010nnnnmmmm0101
MOV.L Rm,@-Rn 0010nnnnmmmm0110
MOV.B @Rm+,Rn 0110nnnnmmmm0100
MOV.W @Rm+,Rn 0110nnnnmmmm0101
MOV.L @Rm+,Rn 0110nnnnmmmm0110
MOV.B Rm,@(R0,Rn) 0000nnnnmmmm0100
MOV.W Rm,@(R0,Rn) 0000nnnnmmmm0101
MOV.L Rm,@(R0,Rn) 0000nnnnmmmm0110
MOV.B @(R0,Rm),Rn 0000nnnnmmmm1100
MOV.W @(R0,Rm),Rn 0000nnnnmmmm1101
MOV.L @(R0,Rm),Rn 0000nnnnmmmm1110
MOV i,Rn 1110nnnniiiiiiii
#pcdisp MOV.W @(d,PC),Rn 1001nnnndddddddd
#pcdisp MOV.L @(d,PC),Rn 1101nnnndddddddd
#no_add_disp MOV.B @(d,GBR),R0 11000100dddddddd
#no_add_disp MOV.W @(d,GBR),R0 11000101dddddddd
#no_add_disp MOV.L @(d,GBR),R0 11000110dddddddd
#no_add_disp MOV.B R0,@(d,GBR) 11000000dddddddd
#no_add_disp MOV.W R0,@(d,GBR) 11000001dddddddd
#no_add_disp MOV.L R0,@(d,GBR) 11000010dddddddd
#no_add_disp MOV.B R0,@(d,Rn) 10000000nnnndddd
#no_add_disp MOV.W R0,@(d,Rn) 10000001nnnndddd
#no_add_disp MOV.L Rm,@(d,Rn) 0001nnnnmmmmdddd
#no_add_disp MOV.B @(d,Rm),R0 10000100mmmmdddd
#no_add_disp MOV.W @(d,Rm),R0 10000101mmmmdddd
#no_add_disp MOV.L @(d,Rm),Rn 0101nnnnmmmmdddd
#pcdisp MOVA @(d,PC),R0 11000111dddddddd
MOVCA.L R0,@Rn 0000nnnn11000011
MOVT Rn 0000nnnn00101001
MUL.L Rm,Rn 0000nnnnmmmm0111
MULS.W Rm,Rn 0010nnnnmmmm1111
MULU.W Rm,Rn 0010nnnnmmmm1110
NEG Rm,Rn 0110nnnnmmmm1011
NEGC Rm,Rn 0110nnnnmmmm1010
NOP 0000000000001001
NOT Rm,Rn 0110nnnnmmmm0111
OCBI @Rn 0000nnnn10010011
OCBP @Rn 0000nnnn10100011
OCBWB @Rn 0000nnnn10110011
OR Rm,Rn 0010nnnnmmmm1011
OR i,R0 11001011iiiiiiii
OR.B i,@(R0,GBR) 11001111iiiiiiii
PREF @Rn 0000nnnn10000011 
ROTCL Rn 0100nnnn00100100
ROTCR Rn 0100nnnn00100101
ROTL Rn 0100nnnn00000100
ROTR Rn 0100nnnn00000101
#delay #ret #priv RTE 0000000000101011
#delay #ret RTS 0000000000001011
SETS 0000000001011000
SETT 0000000000011000
SHAD Rm, Rn 0100nnnnmmmm1100
SHAL Rn 0100nnnn00100000
SHAR Rn 0100nnnn00100001
SHLD Rm, Rn 0100nnnnmmmm1101
SHLL Rn 0100nnnn00000000
SHLL2 Rn 0100nnnn00001000
SHLL8 Rn 0100nnnn00011000
SHLL16 Rn 0100nnnn00101000
SHLR Rn 0100nnnn00000001
SHLR2 Rn 0100nnnn00001001
SHLR8 Rn 0100nnnn00011001
SHLR16 Rn 0100nnnn00101001
#priv SLEEP 0000000000011011
STC GBR, Rn 0000nnnn00010010
STC.L GBR, @-Rn 0100nnnn00010011
